name_of_user,chat_id,sender_1,message_1,sender_2,message_2,sender_3,message_3,sender_4,message_4,sender_5,message_5,sender_6,message_6,sender_7,message_7,sender_8,message_8,sender_9,message_9,sender_10,message_10
Mason,256546515622149,1,Hey there! :),0,Hey! :) How are you?,1,Let’s grab coffee sometime!,0,Totally! When are you free?,1,Looking forward to it :),0,What do you do for fun?,1,I love trying new restaurants. You?,0,That’s awesome! Ever been to Italy?,1,I work in tech. How about you?,0,What kind of music do you like?
Lucas,286899721004272,1,Hi! I couldn’t resist saying hello.,0,"Haha, well I'm glad you did!",1,Do you have any pets?,0,Let’s grab coffee sometime!,1,Totally! When are you free?,0,Looking forward to it :),1,What do you do for fun?,0,I love trying new restaurants. You?,1,That’s awesome! Ever been to Italy?,0,I work in tech. How about you?
Liam,361735881429533,1,Hello! What’s something interesting about you?,0,"Hmm, I’m a great cook. How about you?",1,That’s awesome! Ever been to Italy?,0,I work in tech. How about you?,1,What kind of music do you like?,0,Same here! I’m always up for a good adventure.,1,Do you have any pets?,0,Let’s grab coffee sometime!,1,Totally! When are you free?,0,Looking forward to it :)
Noah,452833147715000,1,Hi! Any fun plans this weekend?,0,Not yet! Got any suggestions?,1,What kind of music do you like?,0,Same here! I’m always up for a good adventure.,1,Do you have any pets?,0,Let’s grab coffee sometime!,1,Totally! When are you free?,0,Looking forward to it :),1,What do you do for fun?,0,I love trying new restaurants. You?
Aiden,487990670899740,1,"Hey, I see we both love hiking!",0,Nice! Nature is the best.,1,Same here! I’m always up for a good adventure.,0,Do you have any pets?,1,Let’s grab coffee sometime!,0,Totally! When are you free?,1,Looking forward to it :),0,What do you do for fun?,1,I love trying new restaurants. You?,0,That’s awesome! Ever been to Italy?
Ryan,517022012810528,1,"Hi there, you have a great smile!",0,Thanks! That’s so sweet of you.,1,I love trying new restaurants. You?,0,That’s awesome! Ever been to Italy?,1,I work in tech. How about you?,0,What kind of music do you like?,1,Same here! I’m always up for a good adventure.,0,Do you have any pets?,1,Let’s grab coffee sometime!,0,Totally! When are you free?
Jake,624396770114678,1,Hey! How’s your day going?,0,"Hey! Pretty good, just relaxing. You?",1,What do you do for fun?,0,I love trying new restaurants. You?,1,That’s awesome! Ever been to Italy?,0,I work in tech. How about you?,1,What kind of music do you like?,0,Same here! I’m always up for a good adventure.,1,Do you have any pets?,0,Let’s grab coffee sometime!
Caleb,681998752804846,1,Hello! You seem really interesting.,0,Thank you! You seem fun too!,1,Looking forward to it :),0,What do you do for fun?,1,I love trying new restaurants. You?,0,That’s awesome! Ever been to Italy?,1,I work in tech. How about you?,0,What kind of music do you like?,1,Same here! I’m always up for a good adventure.,0,Do you have any pets?
Logan,805953247257363,1,Hi! What’s your favorite movie?,0,Probably Inception. Yours?,1,Totally! When are you free?,0,Looking forward to it :),1,What do you do for fun?,0,I love trying new restaurants. You?,1,That’s awesome! Ever been to Italy?,0,I work in tech. How about you?,1,What kind of music do you like?,0,Same here! I’m always up for a good adventure.
Ethan,961156269302394,1,Hey! What brings you here?,0,Just looking to meet new people. You?,1,I work in tech. How about you?,0,What kind of music do you like?,1,Same here! I’m always up for a good adventure.,0,Do you have any pets?,1,Let’s grab coffee sometime!,0,Totally! When are you free?,1,Looking forward to it :),0,What do you do for fun?
